question_id	question_rank	document_title	paragraph_index	distance
151		BBC_Television	30	
151		University_of_Kansas	15	
154		Buddhism	31	
154		List_of_numbered_streets_in_Manhattan	29	
154		MP3	11	
154		Black_people	11	
154		Classical_music	56	
157		Estonian_language	24	
157		Aspirated_consonant	31	
157		Bird_migration	38	
157		The_Times	35	
157		Architecture	8	
160		Buddhism	31	
160		Estonian_language	24	
160		2008_Sichuan_earthquake	35	
160		Aspirated_consonant	17	
160		MP3	11	
163		Buddhism	31	
163		MP3	11	
163		Aspirated_consonant	5	
163		Black_people	11	
163		2008_Summer_Olympics_torch_relay	73	
166		BBC_Television	30	
166		Space_Race	60	
166		University_of_Kansas	15	
166		MP3	11	
166		Materialism	6	
169		Bern	49	
169		MP3	11	
169		Materialism	6	
169		Buddhism	31	
169		Alexander_Graham_Bell	0	
172		Buddhism	31	
172		Black_people	11	
172		Aspirated_consonant	31	
172		Classical_music	56	
172		2008_Summer_Olympics_torch_relay	73	
175		Immunology	8	
175		University_of_Kansas	15	
175		BBC_Television	30	
175		Wood	46	
175		Materialism	6	
178		Estonian_language	24	
178		Materialism	6	
178		University_of_Kansas	15	
178		Aspirated_consonant	31	
178		The_Times	35	
181		MP3	11	
181		Buddhism	31	
181		Alexander_Graham_Bell	0	
181		The_Times	35	
181		Aspirated_consonant	5	
184		Buddhism	31	
184		MP3	11	
184		Classical_music	56	
184		Black_people	11	
184		University_of_Kansas	15	
187		BBC_Television	30	
187		Materialism	6	
187		Wood	46	
187		The_Times	35	
187		University_of_Kansas	15	
190		Buddhism	31	
190		Aspirated_consonant	5	
190		Classical_music	56	
190		MP3	11	
190		Royal_Institute_of_British_Architects	14	
193		Near_East	18	
193		Hunter-gatherer	2	
193		National_Archives_and_Records_Administration	27	
193		Bern	49	
193		2008_Sichuan_earthquake	35	
196		University_of_Kansas	15	
196		2008_Summer_Olympics_torch_relay	73	
196		Estonian_language	24	
196		MP3	11	
196		Buddhism	31	
199		BBC_Television	30	
199		Immunology	8	
199		Wood	46	
199		Materialism	6	
199		Estonian_language	24	
202		Estonian_language	24	
202		Aspirated_consonant	31	
202		MP3	11	
202		Immunology	8	
202		The_Times	35	
205		Alexander_Graham_Bell	0	
205		MP3	11	
205		2008_Sichuan_earthquake	35	
205		University_of_Kansas	15	
205		Bern	49	
208		MP3	11	
208		BBC_Television	30	
208		University_of_Kansas	15	
208		Alexander_Graham_Bell	0	
208		Daylight_saving_time	13	
211		Architecture	8	
211		The_Times	35	
211		BBC_Television	30	
211		Dog	69	
211		MP3	11	
214		MP3	11	
214		List_of_numbered_streets_in_Manhattan	29	
214		Dog	69	
214		Southampton	76	
214		Plymouth	75	
217		BBC_Television	30	
217		Alexander_Graham_Bell	0	
217		The_Times	35	
217		MP3	11	
217		Architecture	8	
220		Architecture	8	
220		Hunter-gatherer	2	
220		BBC_Television	30	
220		Bird_migration	38	
220		The_Times	35	
223		BBC_Television	30	
223		Near_East	18	
223		Architecture	8	
223		Alexander_Graham_Bell	0	
223		Institute_of_technology	34	
226		Buddhism	31	
226		University_of_Kansas	15	
226		2008_Summer_Olympics_torch_relay	73	
226		Classical_music	56	
226		MP3	11	
229		Prime_minister	18	
229		MP3	11	
229		Buddhism	31	
229		National_Archives_and_Records_Administration	18	
229		Dog	69	
232		Aspirated_consonant	5	
232		Buddhism	31	
232		MP3	11	
232		Materialism	6	
232		Black_people	11	
235		University_of_Kansas	15	
235		List_of_numbered_streets_in_Manhattan	22	
235		Materialism	6	
235		Sony_Music_Entertainment	28	
235		The_Times	35	
238		University_of_Kansas	15	
238		BBC_Television	30	
238		Near_East	18	
238		MP3	11	
238		2008_Summer_Olympics_torch_relay	73	
241		Materialism	6	
241		2008_Summer_Olympics_torch_relay	73	
241		University_of_Kansas	15	
241		Catalan_language	46	
241		Near_East	18	
244		University_of_Kansas	15	
244		Wayback_Machine	9	
244		BBC_Television	30	
244		Materialism	6	
244		Alexander_Graham_Bell	0	
247		Buddhism	31	
247		MP3	11	
247		Architecture	8	
247		Aspirated_consonant	5	
247		Alexander_Graham_Bell	0	
250		BBC_Television	30	
250		Alexander_Graham_Bell	0	
250		University_of_Kansas	15	
250		Estonian_language	24	
250		2008_Summer_Olympics_torch_relay	73	
253		MP3	11	
253		BBC_Television	30	
253		Buddhism	31	
253		University_of_Kansas	15	
253		Alexander_Graham_Bell	0	
256		Buddhism	31	
256		MP3	11	
256		Hydrogen	19	
256		Classical_music	56	
256		Ministry_of_Defence_(United_Kingdom)	9	
259		University_of_Kansas	15	
259		Aspirated_consonant	17	
259		Estonian_language	24	
259		Materialism	6	
259		Near_East	18	
262		Buddhism	31	
262		MP3	11	
262		List_of_numbered_streets_in_Manhattan	29	
262		Dog	69	
262		Near_East	18	
265		BBC_Television	30	
265		Estonian_language	24	
265		Wood	46	
265		University_of_Kansas	15	
265		The_Times	35	
268		University_of_Kansas	15	
268		Materialism	6	
268		Hunter-gatherer	10	
268		Near_East	18	
268		Daylight_saving_time	13	
271		MP3	11	
271		List_of_numbered_streets_in_Manhattan	29	
271		Aspirated_consonant	5	
271		2008_Summer_Olympics_torch_relay	73	
271		Buddhism	31	
274		University_of_Kansas	15	
274		Daylight_saving_time	13	
274		MP3	11	
274		Alexander_Graham_Bell	0	
274		BBC_Television	30	
277		Architecture	8	
277		Dog	69	
277		Near_East	18	
277		MP3	11	
277		Hunter-gatherer	2	
280		University_of_Kansas	15	
280		MP3	11	
280		BBC_Television	30	
280		Alexander_Graham_Bell	0	
280		Materialism	6	
283		Buddhism	31	
283		Classical_music	56	
283		Aspirated_consonant	31	
283		Guinea-Bissau	38	
283		Materialism	6	
286		Josip_Broz_Tito	32	
286		Architecture	8	
286		MP3	11	
286		Near_East	18	
286		BBC_Television	30	
289		BBC_Television	30	
289		University_of_Kansas	15	
289		Alexander_Graham_Bell	0	
289		Wood	46	
289		The_Times	35	
292		Materialism	6	
292		Southampton	37	
292		University_of_Kansas	15	
292		Daylight_saving_time	13	
292		Estonian_language	24	
295		University_of_Kansas	15	
295		MP3	11	
295		Estonian_language	24	
295		Alexander_Graham_Bell	0	
295		Materialism	6	
298		Hunter-gatherer	2	
298		Phonology	13	
298		Architecture	8	
298		The_Times	35	
298		Dog	69	
